B,P,C,X,N,Time
5,1,1,0,1,117195.000000
5,1,5,0,1,117639.600000
5,5,1,0,1,118097.400000
5,5,5,0,1,118654.200000
10,1,1,0,1,119452.800000
10,1,5,0,1,119950.800000
10,1,10,0,1,120411.600000
10,5,1,0,1,120857.600000
10,5,5,0,1,121202.800000
10,5,10,0,1,121578.200000
10,10,1,0,1,122125.800000
10,10,5,0,1,122553.400000
10,10,10,0,1,122967.000000
5,1,1,200,1,123642.400000
5,1,5,200,1,124682.800000
5,5,1,200,1,125684.600000
5,5,5,200,1,126404.200000
10,1,1,200,1,127051.400000
10,1,5,200,1,127981.000000
10,1,10,200,1,128820.800000
10,5,1,200,1,129679.800000
10,5,5,200,1,130306.200000
10,5,10,200,1,131053.200000
10,10,1,200,1,131915.600000
10,10,5,200,1,132800.400000
10,10,10,200,1,133245.000000
5,1,1,400,1,134026.800000
5,1,5,400,1,135063.600000
5,5,1,400,1,136053.400000
5,5,5,400,1,137087.600000
10,1,1,400,1,137968.000000
10,1,5,400,1,139089.600000
10,1,10,400,1,139925.400000
10,5,1,400,1,141037.200000
10,5,5,400,1,142140.800000
10,5,10,400,1,142623.200000
10,10,1,400,1,143386.000000
10,10,5,400,1,144425.600000
10,10,10,400,1,144960.600000
