B,P,C,X,N,Time
5,1,1,0,1,153.137193
5,1,5,0,1,157.474760
5,5,1,0,1,123.855965
5,5,5,0,1,278.042623
10,1,1,0,1,278.168474
10,1,5,0,1,130.494061
10,1,10,0,1,165.795959
10,5,1,0,1,115.465579
10,5,5,0,1,108.003241
10,5,10,0,1,144.705563
10,10,1,0,1,127.998828
10,10,5,0,1,129.824112
10,10,10,0,1,137.639021
5,1,1,200,1,322.901378
5,1,5,200,1,340.761940
5,5,1,200,1,265.752328
5,5,5,200,1,145.861921
10,1,1,200,1,296.159248
10,1,5,200,1,253.885801
10,1,10,200,1,268.653494
10,5,1,200,1,270.036479
10,5,5,200,1,129.033717
10,5,10,200,1,285.006491
10,10,1,200,1,369.301097
10,10,5,200,1,140.414743
10,10,10,200,1,140.162406
5,1,1,400,1,396.230615
5,1,5,400,1,255.028038
5,5,1,400,1,440.840447
5,5,5,400,1,160.833143
10,1,1,400,1,441.019274
10,1,5,400,1,278.842787
10,1,10,400,1,274.752252
10,5,1,400,1,493.932384
10,5,5,400,1,167.329615
10,5,10,400,1,141.365484
10,10,1,400,1,391.958544
10,10,5,400,1,209.673079
10,10,10,400,1,145.479552
